OTU ID	taxonomy	taxid	AH	CP	EP	TB
110473	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae	85017	0.0	0.0	0.0	1.0
111630	sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Flavitalea	1210116	0.0	0.0	0.0	1.0
111794	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	41294	1.0	0.0	0.0	0.0
111832	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas	141948	2.0	0.0	0.0	0.0
112279	sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Chryseomicrobium	889388	0.0	0.0	0.0	1.0
114175	sk__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	5338	1.0	0.0	0.0	0.0
116008	sk__Eukaryota;k__;p__Discosea;c__;o__Longamoebia	1485168	0.0	1.0	0.0	0.0
116471	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	45401	1.0	0.0	0.0	0.0
118266	sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	815	1.0	0.0	0.0	0.0
119872	sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae	415002	0.0	2.0	0.0	0.0
120558	sk__Bacteria;k__;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter	28196	0.0	1.0	0.0	0.0
121326	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes	147550	0.0	0.0	0.0	6.0
122070	sk__Bacteria;k__;p__Balneolaeota;c__Balneolia	1853221	0.0	0.0	0.0	1.0
122311	sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae	563798	1.0	0.0	0.0	4.0
126240	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	5125	0.0	0.0	0.0	2.0
126258	sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia	84992	4.0	0.0	1.0	2.0
126303	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces	1883	0.0	1.0	3.0	3.0
126805	sk__Bacteria;k__;p__Candidatus_Kaiserbacteria	1752734	3.0	0.0	0.0	0.0
126880	sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga	79328	1.0	1.0	0.0	0.0
127789	sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales	1853229	1.0	0.0	0.0	0.0
128068	sk__Bacteria;k__;p__Candidatus_Levybacteria	1752719	2.0	0.0	0.0	0.0
129202	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira	35798	0.0	0.0	0.0	2.0
129751	sk__Bacteria;k__;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio	958	3.0	0.0	0.0	0.0
130675	sk__Bacteria;k__;p__Acidobacteria;c__Holophagae	533205	7.0	0.0	4.0	1.0
130904	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	91347	1.0	2.0	0.0	2.0
132036	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium	1696	0.0	0.0	0.0	1.0
132394	sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum	40840	0.0	1.0	0.0	0.0
133613	sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae	563835	7.0	1.0	0.0	2.0
134918	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Sinobacteraceae;g__Polycyclovorans	1274363	5.0	0.0	0.0	1.0
135005	sk__Eukaryota;k__Metazoa;p__Annelida;c__Clitellata;o__Enchytraeida;f__Enchytraeidae;g__Enchytraeus;s__Enchytraeus_albidus	6390	1.0	0.0	0.0	0.0
136044	sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	44249	0.0	0.0	0.0	1.0
136978	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	204457	1.0	0.0	1.0	1.0
138447	sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Marinifilaceae	1573805	0.0	1.0	0.0	0.0
138654	sk__Bacteria;k__;p__Verrucomicrobia;c__Spartobacteria;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter	295577	1.0	0.0	1.0	0.0
138706	sk__Eukaryota;k__Viridiplantae;p__Streptophyta	35493	0.0	0.0	0.0	1.0
140182	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__Flavobacteriaceae_bacterium_UJ101	1150389	0.0	3.0	0.0	1.0
140615	sk__Bacteria;k__;p__Proteobacteria	1224	17.0	3.0	3.0	7.0
